City,Country,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Date
Deqing,CN,30.54,119.96,53.01,81.0,24.0,8.95,1584312539.0
Mataram,ID,-8.58,116.12,75.2,100.0,20.0,3.15,1584312539.0
Lazaro Cardenas,MX,17.96,-102.2,81.68,69.0,50.0,6.93,1584312539.0
Kichmengskiy Gorodok,RU,59.98,45.79,14.36,91.0,13.0,3.2,1584312539.0
Marienburg,SR,54.04,19.03,41.0,41.0,97.0,14.99,1584312540.0
Quesnel,CA,53.0,-122.5,24.8,35.0,1.0,0.65,1584312540.0
Torbay,CA,47.67,-52.73,28.99,68.0,20.0,14.99,1584312540.0
Poum,NC,-20.23,164.02,82.38,79.0,48.0,13.15,1584312272.0
Batavia,US,41.85,-88.31,43.0,56.0,75.0,8.05,1584312529.0
Krasnooktyabrskiy,RU,44.93,38.37,35.6,43.0,72.0,13.42,1584312540.0
Itarema,BR,-2.92,-39.92,76.41,94.0,100.0,3.33,1584312540.0
Mudgee,AU,-32.59,149.59,63.0,72.0,40.0,10.29,1584312541.0
Bandarbeyla,SO,9.49,50.81,78.51,75.0,70.0,7.16,1584312541.0
Vrangel,RU,42.73,133.08,29.34,69.0,33.0,21.09,1584312541.0
Ust-Maya,RU,60.42,134.53,-5.46,93.0,0.0,4.29,1584312541.0
Ust-Kuyga,RU,70.02,135.6,-11.4,81.0,30.0,13.06,1584312541.0
Gat,LY,31.61,34.76,59.0,87.0,34.0,1.12,1584312541.0
Natal,BR,-5.79,-35.21,78.8,88.0,40.0,4.7,1584312259.0
Weihe,CN,33.0,105.32,48.0,83.0,100.0,4.63,1584312574.0
Venezuela,CU,8.0,-66.0,86.45,41.0,100.0,18.81,1584312574.0
Maceio,BR,-9.67,-35.74,75.2,94.0,75.0,9.17,1584312575.0
Mitu,CO,1.2,-70.17,74.1,97.0,100.0,3.67,1584312575.0
Barlinek,PL,52.99,15.22,41.0,51.0,94.0,9.17,1584312575.0
Sisimiut,GL,66.94,-53.67,-11.27,90.0,40.0,6.98,1584312575.0
Kavaratti,IN,10.57,72.64,82.0,70.0,59.0,5.86,1584312412.0
Mareeba,AU,-17.0,145.43,78.01,83.0,64.0,1.12,1584312575.0
Pitimbu,BR,-7.47,-34.81,77.0,94.0,75.0,5.82,1584312576.0
Safranbolu,TR,41.25,32.69,30.74,96.0,100.0,5.28,1584312576.0
Conde,BR,-7.26,-34.91,77.0,94.0,75.0,5.82,1584312397.0
Saratoga Springs,US,43.08,-73.78,44.6,23.0,1.0,9.17,1584312316.0
Grand Gaube,MU,-20.01,57.66,75.0,94.0,40.0,3.36,1584312337.0
Tiarei,PF,-17.53,-149.33,89.6,59.0,20.0,3.36,1584312576.0
Omboue,GA,-1.57,9.26,75.72,93.0,98.0,0.89,1584312576.0
Ilovlya,RU,49.3,43.98,21.2,67.0,8.0,11.18,1584312577.0
Berdigestyakh,RU,62.1,126.7,2.32,95.0,82.0,7.36,1584312577.0
Alice Springs,AU,-23.7,133.88,64.4,39.0,0.0,14.9,1584312335.0
Berbera,SO,10.44,45.01,77.94,82.0,0.0,5.68,1584312577.0
Ostrovnoy,RU,68.05,39.51,24.31,96.0,100.0,7.29,1584312577.0
Yulara,AU,-25.24,130.99,71.6,18.0,0.0,6.93,1584312417.0
Rio Gallegos,AR,-51.62,-69.22,69.8,40.0,75.0,16.11,1584312577.0
Nome,US,64.5,-165.41,28.4,92.0,90.0,8.05,1584312577.0
Pangnirtung,CA,66.15,-65.71,-20.67,96.0,100.0,3.94,1584312406.0
Jishou,CN,28.32,109.72,52.77,77.0,100.0,2.75,1584312578.0
Bethanien,NA,-26.5,17.16,73.62,29.0,0.0,4.54,1584312578.0
Ayagoz,KZ,47.97,80.44,30.2,56.0,79.0,3.89,1584312578.0
Lamesa,US,32.74,-101.95,48.2,94.0,90.0,11.41,1584312578.0
Najran,SA,17.49,44.13,71.6,35.0,0.0,4.7,1584312578.0
Konin,PL,52.22,18.25,37.0,53.0,91.0,5.01,1584312491.0
Riyadh,SA,24.69,46.72,68.0,37.0,0.0,9.17,1584312563.0
Carnarvon,AU,-24.87,113.63,75.2,88.0,40.0,9.17,1584312322.0
Zhezkazgan,KZ,47.8,67.71,39.0,79.0,100.0,3.04,1584312485.0
Arlit,NE,18.74,7.39,71.94,12.0,20.0,5.08,1584312579.0
Kununurra,AU,-15.77,128.73,71.6,88.0,0.0,4.36,1584312579.0
Cidreira,BR,-30.18,-50.21,75.79,91.0,85.0,8.5,1584312397.0
Ponta Do Sol,PT,32.67,-17.1,62.6,63.0,40.0,17.22,1584312380.0
Wundanyi,KE,-3.4,38.36,72.79,95.0,100.0,3.0,1584312580.0
Puerto Escondido,MX,15.85,-97.07,86.0,79.0,20.0,8.05,1584312580.0
Kidal,ML,18.44,1.41,77.58,11.0,32.0,10.54,1584312383.0
Bengkulu,ID,-3.8,102.27,75.34,87.0,28.0,3.38,1584312397.0
Shaoyang,CN,27.23,111.45,56.44,71.0,100.0,2.98,1584312580.0
Talovaya,RU,51.11,40.73,27.61,58.0,83.0,12.88,1584312581.0
Aksu,CN,41.12,80.26,39.61,29.0,3.0,4.21,1584312581.0
Haines Junction,CA,60.75,-137.51,28.27,83.0,11.0,2.68,1584312379.0
Vao,NC,-22.67,167.48,81.59,72.0,60.0,33.78,1584312581.0
Broken Hill,AU,-31.95,141.43,64.4,42.0,0.0,11.41,1584312581.0
Korla,CN,41.76,86.15,45.0,51.0,99.0,1.99,1584312581.0
Zilair,RU,52.23,57.44,29.14,89.0,95.0,4.97,1584312581.0
Pembroke,CA,45.82,-77.12,30.2,22.0,1.0,6.93,1584312582.0
Whithorn,GB,18.26,-78.04,82.4,69.0,20.0,23.04,1584312634.0
Richards Bay,ZA,-28.78,32.04,78.19,79.0,23.0,24.49,1584312634.0
Sola,VU,-13.88,167.55,89.6,66.0,75.0,5.82,1584312418.0
Gasa,BT,31.5,34.47,59.0,87.0,14.0,1.12,1584312635.0
Hirara,JP,24.8,125.28,62.6,67.0,40.0,8.05,1584312635.0
Eydhafushi,MV,5.1,73.07,83.28,74.0,49.0,7.67,1584312635.0
Broome,AU,42.25,-75.83,39.0,62.0,1.0,3.36,1584312412.0
Campamento,CO,14.55,-86.65,79.34,50.0,26.0,9.51,1584312635.0
Lukovetskiy,RU,64.3,41.92,26.6,63.0,90.0,8.95,1584312636.0
Totton,GB,50.92,-1.49,45.0,93.0,74.0,3.36,1584312636.0
Gornopravdinsk,RU,60.05,69.9,22.89,85.0,100.0,12.91,1584312636.0
Rawson,AR,-43.3,-65.1,65.25,58.0,75.0,18.03,1584312636.0
Gazojak,TM,41.19,61.4,61.23,43.0,99.0,8.84,1584312636.0
Taicheng,CN,38.73,113.23,43.29,33.0,68.0,4.36,1584312636.0
Torrington,US,41.8,-73.12,50.0,14.0,1.0,9.17,1584312494.0
Trinidad,US,-14.83,-64.9,87.8,74.0,75.0,1.74,1584312637.0
Hobyo,SO,5.35,48.53,78.96,83.0,100.0,11.18,1584312637.0
Xining,CN,36.62,101.77,23.56,88.0,98.0,2.21,1584312637.0
Jijiga,ET,9.35,42.8,63.73,74.0,47.0,5.68,1584312637.0
Saint Anthony,CA,45.02,-93.22,39.99,44.0,40.0,5.82,1584312371.0
Ust-Kulom,RU,61.69,53.69,1.53,93.0,0.0,3.53,1584312637.0
Zeya,RU,53.75,127.27,6.96,91.0,26.0,2.62,1584312637.0
Tayga,RU,56.06,85.62,37.4,74.0,100.0,15.66,1584312638.0
Cumberland,US,35.05,-78.87,57.99,66.0,90.0,11.41,1584312405.0
Atasu,KZ,48.68,71.64,35.53,77.0,100.0,6.49,1584312638.0
Mecca,SA,21.43,39.83,66.34,56.0,0.0,1.28,1584312469.0
Mangai,CD,-4.05,19.53,72.19,95.0,100.0,1.72,1584312638.0
Comodoro Rivadavia,AR,-45.87,-67.5,77.0,36.0,0.0,9.17,1584312638.0
Lapua,FI,62.97,23.01,39.2,93.0,90.0,9.17,1584312639.0
Olinda,BR,-8.01,-34.86,82.4,78.0,40.0,4.7,1584312549.0
Jiblah,YE,13.92,44.15,63.07,93.0,87.0,2.64,1584312639.0
Souillac,MU,-20.52,57.52,75.0,94.0,40.0,3.36,1584312407.0
Wynyard,CA,-41.0,145.72,53.01,96.0,67.0,5.99,1584312639.0
Ca Mau,VN,9.18,105.15,81.41,70.0,46.0,10.85,1584312639.0
Bara,SD,10.37,10.73,67.57,15.0,5.0,5.37,1584312430.0
Boa Vista,BR,2.82,-60.67,91.4,43.0,75.0,8.05,1584312532.0
Gemena,CD,3.25,19.77,75.7,78.0,98.0,2.28,1584312640.0
Padang,ID,-0.95,100.35,70.21,88.0,84.0,5.32,1584312640.0
Lovozero,RU,68.0,35.01,22.84,93.0,100.0,6.35,1584312416.0
Kurilsk,RU,45.23,147.88,24.71,70.0,73.0,11.5,1584312640.0
Griffith,AU,41.53,-87.42,44.01,64.0,1.0,3.36,1584312635.0
Tromso,NO,69.65,18.96,26.6,79.0,20.0,14.99,1584312640.0
Benguela,AO,-12.58,13.41,79.56,80.0,100.0,4.07,1584312641.0
San Jeronimo,MX,-11.95,-75.28,45.43,94.0,100.0,7.87,1584312641.0
Liloy,PH,8.11,122.66,78.89,75.0,2.0,11.18,1584312641.0
Makaha,US,21.47,-158.22,80.6,83.0,90.0,6.93,1584312641.0
Beira,MZ,-19.84,34.84,81.81,76.0,4.0,10.67,1584312603.0
Pelym,RU,61.01,62.0,11.16,83.0,75.0,8.5,1584312641.0
Puri,IN,19.8,85.85,75.2,94.0,40.0,2.08,1584312641.0
Nadaun,IN,31.78,76.35,49.84,49.0,2.0,2.93,1584312641.0
Port Blair,IN,11.67,92.75,82.54,74.0,70.0,11.63,1584312435.0
Barcelos,BR,41.54,-8.62,45.0,93.0,40.0,3.36,1584312526.0
Berlevag,NO,70.86,29.09,23.0,67.0,20.0,10.29,1584312404.0
Japura,BR,-0.32,102.35,74.98,93.0,5.0,0.87,1584312695.0
Jasper,CA,37.2,-94.35,45.0,86.0,90.0,9.17,1584312631.0
Pointe Michel,DM,15.25,-61.38,78.66,71.0,16.0,6.76,1584312695.0
Reconquista,AR,-29.15,-59.65,74.93,83.0,45.0,8.08,1584312695.0
Shimoda,JP,34.67,138.95,48.0,52.0,49.0,24.18,1584312695.0
San Quintin,MX,30.48,-115.95,61.45,71.0,2.0,16.13,1584312695.0
Leeton,AU,-34.57,146.4,66.0,55.0,0.0,10.29,1584312695.0
Kiunga,PG,-6.12,141.29,72.7,99.0,100.0,3.44,1584312696.0
Valera,VE,9.32,-70.6,72.25,81.0,100.0,2.17,1584312696.0
Burshtyn,UA,49.26,24.63,29.68,48.0,0.0,5.68,1584312696.0
Bahia Blanca,AR,-38.72,-62.27,63.18,34.0,0.0,14.07,1584312696.0
Nagornyy,RU,52.8,83.55,42.8,41.0,100.0,22.37,1584312696.0
Trapani,IT,37.83,12.67,55.99,87.0,0.0,5.82,1584312696.0
Montemor-O-Novo,PT,38.65,-8.21,46.99,80.0,2.0,15.43,1584312696.0
Isla Mujeres,MX,21.23,-86.73,82.4,69.0,75.0,10.29,1584312697.0
Lampang,TH,18.33,99.5,72.93,77.0,56.0,0.67,1584312697.0
Mangan,IN,27.52,88.53,37.13,44.0,18.0,9.19,1584312697.0
Rudnichnyy,RU,59.62,52.47,9.55,96.0,14.0,2.73,1584312618.0
Sobolevo,RU,54.43,31.9,27.0,76.0,0.0,5.08,1584312697.0
Lokosovo,RU,61.13,74.82,30.15,96.0,100.0,15.43,1584312697.0
Leningradskiy,RU,69.38,178.42,15.1,72.0,25.0,5.57,1584312698.0
Munkebo,DK,55.46,10.56,45.54,81.0,99.0,16.22,1584312698.0
Mayo,CA,38.89,-76.51,52.0,62.0,75.0,3.02,1584312698.0
Solaro,IT,44.88,9.17,51.8,53.0,0.0,8.05,1584312698.0
Lata,SB,40.16,-8.33,52.0,84.0,19.0,3.96,1584312698.0
Villanueva De La Serena,ES,38.98,-5.8,48.0,71.0,2.0,8.01,1584312698.0
Shihezi,CN,44.3,86.03,36.18,51.0,0.0,0.85,1584312698.0
Rabaul,PG,-4.2,152.17,83.66,71.0,98.0,7.25,1584312698.0
Taman,RU,45.21,36.72,33.8,55.0,40.0,11.18,1584312699.0
Maniitsoq,GL,65.42,-52.9,0.77,67.0,38.0,10.6,1584312699.0
Abrego,CO,8.08,-73.22,57.4,97.0,100.0,2.89,1584312699.0
Tagusao,PH,9.19,117.81,78.44,72.0,0.0,3.65,1584312699.0
Redlands,US,34.06,-117.18,75.2,67.0,90.0,6.06,1584312699.0
Oussouye,SN,12.48,-16.55,74.25,52.0,88.0,9.84,1584312699.0
Svetlogorsk,RU,52.63,29.73,28.81,59.0,0.0,5.23,1584312700.0
Batagay,RU,67.63,134.63,-12.33,82.0,10.0,4.56,1584312700.0
Carutapera,BR,-1.2,-46.02,76.91,89.0,100.0,9.82,1584312700.0
Luancheng,CN,37.88,114.65,35.6,80.0,98.0,2.24,1584312700.0
Saint-Augustin,CA,51.23,-58.65,16.29,71.0,100.0,17.2,1584312442.0
Santa Marta,CO,11.24,-74.2,91.99,52.0,20.0,19.46,1584312700.0
Tsukumi,JP,33.07,131.86,41.0,75.0,20.0,10.29,1584312700.0
Havelock,US,34.88,-76.9,52.0,93.0,90.0,14.99,1584312701.0
Fremont,US,37.55,-121.99,55.4,66.0,75.0,10.29,1584312458.0
Quelimane,MZ,-17.88,36.89,78.8,88.0,40.0,2.71,1584312701.0
Vagur,FO,61.47,-6.81,37.33,69.0,79.0,17.74,1584312701.0
Shevchenkove,UA,49.7,37.17,26.6,79.0,33.0,4.47,1584312701.0
Bairiki,KI,1.33,172.98,87.8,70.0,20.0,9.17,1584312701.0
Dingle,IE,11.0,122.67,76.51,74.0,0.0,10.18,1584312701.0
Sinnamary,GF,5.38,-52.95,79.88,77.0,45.0,16.13,1584312701.0
Morgan City,US,29.7,-91.21,84.2,42.0,1.0,3.36,1584312754.0
Fort Nelson,CA,58.81,-122.7,32.0,87.0,20.0,3.36,1584312754.0
Samsun,TR,41.25,36.33,42.8,81.0,90.0,10.29,1584312755.0
Usta Muhammad,PK,28.18,68.04,69.08,37.0,84.0,4.29,1584312755.0
Samarai,PG,-10.62,150.67,86.31,58.0,5.0,4.59,1584312755.0
Paoua,CF,7.24,16.44,70.72,18.0,66.0,4.34,1584312755.0
Abha,SA,18.22,42.51,59.0,87.0,14.0,4.7,1584312755.0
Wiang Sa,TH,8.64,99.37,75.2,100.0,20.0,3.36,1584312756.0
Bosaso,SO,11.28,49.18,77.31,85.0,14.0,12.71,1584312756.0
Kiruna,SE,67.86,20.23,21.2,92.0,100.0,2.24,1584312551.0
Pinheiro Machado,BR,-31.58,-53.38,64.99,94.0,100.0,3.0,1584312756.0
Teguise,ES,29.06,-13.56,64.4,72.0,40.0,14.99,1584312756.0
San Vicente,PH,-26.62,-54.13,78.1,53.0,82.0,5.28,1584312643.0
Valley City,US,46.92,-98.0,32.0,96.0,90.0,10.29,1584312756.0
Platanos,GR,37.67,21.62,57.2,82.0,75.0,6.93,1584312757.0
Baruun-Urt,MN,46.68,113.28,23.05,81.0,51.0,12.73,1584312757.0
Neyvo-Shaytanskiy,RU,57.73,61.25,24.39,93.0,25.0,3.56,1584312757.0
Zhangye,CN,38.93,100.45,38.7,36.0,100.0,2.62,1584312757.0
Gawler,AU,-34.6,138.73,70.0,45.0,20.0,9.17,1584312467.0
Katherine,AU,-14.47,132.27,73.4,83.0,4.0,0.89,1584312757.0
Brooks,CA,50.58,-111.89,9.0,68.0,52.0,4.16,1584312757.0
Vila Velha,BR,-20.33,-40.29,80.6,78.0,20.0,4.7,1584312556.0
Kaoma,ZM,-14.78,24.8,65.95,96.0,100.0,1.88,1584312758.0
Antalaha,MG,-14.9,50.28,80.62,79.0,100.0,12.71,1584312758.0
Buluang,PH,13.31,123.34,78.93,71.0,0.0,2.46,1584312758.0
Portland,AU,45.52,-122.68,50.0,42.0,20.0,25.28,1584312602.0
Walvis Bay,NA,-22.96,14.51,62.01,93.0,8.0,8.05,1584312758.0
Muravlenko,RU,63.79,74.52,-5.22,88.0,100.0,15.57,1584312758.0
Flinders,AU,-34.58,150.86,66.0,100.0,75.0,11.41,1584312733.0
Okato,NZ,-39.2,173.88,66.0,66.0,100.0,1.99,1584312759.0
Quimper,FR,48.0,-4.1,45.0,87.0,20.0,8.05,1584312759.0
Stromness,GB,58.97,-3.3,37.0,69.0,91.0,8.05,1584312759.0
San Patricio,MX,19.22,-104.7,86.0,74.0,20.0,11.41,1584312759.0
Kyshtovka,RU,56.55,76.63,31.6,93.0,100.0,26.66,1584312759.0
Rochefort,FR,45.92,-1.0,51.8,87.0,80.0,4.7,1584312759.0
Wegrow,PL,52.4,22.02,34.0,57.0,63.0,13.35,1584312759.0
Yar-Sale,RU,66.83,70.83,-12.68,99.0,8.0,3.27,1584312760.0
Vila Franca Do Campo,PT,37.72,-25.43,53.6,81.0,20.0,4.7,1584312760.0
Santa Isabel Do Rio Negro,BR,-0.41,-65.02,76.8,95.0,100.0,2.68,1584312760.0
Antofagasta,CL,-23.65,-70.4,68.0,72.0,20.0,12.75,1584312688.0
Nauta,PE,-4.51,-73.58,78.51,86.0,97.0,2.62,1584312760.0
Prata,BR,-19.31,-48.92,72.66,85.0,39.0,4.81,1584312760.0
Pathein,MM,16.78,94.73,75.6,83.0,96.0,6.51,1584312761.0
Kirakira,SB,-10.45,161.92,79.21,86.0,100.0,7.87,1584312761.0
Isiro,CD,2.77,27.62,68.68,94.0,73.0,3.49,1584312761.0
Astana,KZ,51.18,71.45,35.6,99.0,90.0,6.71,1584312721.0
Gornozavodsk,RU,58.38,58.32,14.41,95.0,16.0,2.46,1584312761.0
Chokwe,MZ,-24.53,32.98,73.96,92.0,11.0,5.41,1584312761.0
Khuzdar,PK,27.74,66.64,52.68,36.0,66.0,2.8,1584312762.0
Freeport,BS,40.66,-73.58,53.6,20.0,1.0,6.93,1584312814.0
Concordia,MX,-31.39,-58.02,70.0,95.0,95.0,5.99,1584312815.0
Springdale,US,36.19,-94.13,48.2,100.0,90.0,5.82,1584312618.0
San Cristobal,EC,7.77,-72.22,82.4,58.0,20.0,5.82,1584312585.0
Ucluelet,CA,48.93,-125.55,48.99,33.0,5.0,6.93,1584312636.0
